institution;indicator;taux observE 2009;taux attendu 2009;SMR 2009;nombre de cas 2009;taux observE 2010;taux attendu 2010;SMR 2010;nombre de cas 2010
Les HÙpitaux Universitaires de GenËve HUG;A Maladies cardiaques; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;A.1 Infarctus du myocarde; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;A.1.1.M DP infarctus du myocarde (‚ge >19), mortalitE;0.054;0.065;0.8;501;0.066;0.062;1.1;486
Les HÙpitaux Universitaires de GenËve HUG;A.1.2.M DP infarctus du myocarde, ‚ge 20-44, mortalitE;0;0.009;0;36;0;0.012;0;28
Les HÙpitaux Universitaires de GenËve HUG;A.1.3.M DP infarctus du myocarde, ‚ge 45-64, mortalitE;0.026;0.022;1.2;191;0.033;0.016;2.1;180
Les HÙpitaux Universitaires de GenËve HUG;A.1.4.M DP infarctus du myocarde, ‚ge 65-84, mortalitE;0.077;0.073;1.1;220;0.095;0.065;1.5;210
Les HÙpitaux Universitaires de GenËve HUG;A.1.5.M DP infarctus du myocarde, ‚ge >84, mortalitE;0.093;0.223;0.4;54;0.088;0.193;0.5;68
Les HÙpitaux Universitaires de GenËve HUG;A.1.6.P DP infarctus du myocarde (‚ge >19), avec CCG ou OP coronarienne, pourcentage;0.874;0.522;NaN;438;0.815;0.548;NaN;396
Les HÙpitaux Universitaires de GenËve HUG;A.1.7.M DP infarctus du myocarde (‚ge >19), admissions directes pas transfErE, mortalitE;0.06;0.089;0.7;402;0.076;0.076;1;384
Les HÙpitaux Universitaires de GenËve HUG;A.1.8.M DP infarctus du myocarde (‚ge >19), transfErE díun autre hÙpital, mortalitE;0.061;0.038;1.6;49;0.041;0.068;0.6;73
Les HÙpitaux Universitaires de GenËve HUG;A.1.9.P Infarctus aigu du myocarde non prEcisE (‚ge >19), pourcentage;0.038;0.065;NaN;19;0.062;0.041;NaN;30
Les HÙpitaux Universitaires de GenËve HUG;A.1.10.M Infarctus du myocarde transmural (‚ge >19), mortalitE;0.061;0.056;1.1;214;0.078;0.063;1.2;219
Les HÙpitaux Universitaires de GenËve HUG;A.1.11.M Infarctus non transmural/NSTEMI (‚ge >19), mortalitE;0.03;0.051;0.6;268;0.03;0.041;0.7;236
Les HÙpitaux Universitaires de GenËve HUG;A.2 Insuffisance cardiaque; ; ; ; ; ; ; ; 
Les HÙpitaux Universitaires de GenËve HUG;A.2.1.M DP insuffisance cardiaque (‚ge >19), mortalitE;0.037;0.079;0.5;544;0.048;0.086;0.6;704
Les HÙpitaux Universitaires de GenËve HUG;A.2.2.M DP insuffisance cardiaque, ‚ge 20-44, mortalitE;0;0.024;0;10;0.1;0.044;2.3;10
Les HÙpitaux Universitaires de GenËve HUG;A.2.3.M DP insuffisance cardiaque, ‚ge 45-64, mortalitE;0;0.028;0;60;0.025;0.036;0.7;81
Les HÙpitaux Universitaires de GenËve HUG;A.2.4.M DP insuffisance cardiaque, ‚ge 65-84, mortalitE;0.043;0.071;0.6;327;0.037;0.076;0.5;409
Les HÙpitaux Universitaires de GenËve HUG;A.2.5.M DP insuffisance cardiaque, ‚ge >84, mortalitE;0.041;0.124;0.3;147;0.078;0.129;0.6;204
Les HÙpitaux Universitaires de GenËve HUG;A.3 CathEtErisme cardiaque gauche (CCG); ; ; ; ; ; ; ; 
