hospital_name,indicator,observed_rate_2010,expected_rate_2010,SMR_2010,number_of_cases_2010
HUG,A Maladies cardiaques, , , , 
HUG,A.1 Infarctus du myocarde, , , , 
HUG,A.1.1.M,0.066,0.062,1.1,486
HUG,A.1.2.M,0,0.012,0,28
HUG,A.1.3.M,0.033,0.016,2.1,180
HUG,A.1.4.M,0.095,0.065,1.5,210
HUG,A.1.5.M,0.088,0.193,0.5,68
HUG,A.1.6.P,0.815,0.548,,396
HUG,A.1.7.M,0.076,0.076,1,384
HUG,A.1.8.M,0.041,0.068,0.6,73
HUG,A.1.9.P,0.062,0.041,,30
HUG,A.1.10.M,0.078,0.063,1.2,219
HUG,A.1.11.M,0.03,0.041,0.7,236
HUG,A.2 Insuffisance cardiaque, , , , 
HUG,A.2.1.M,0.048,0.086,0.6,704
HUG,A.2.2.M,0.1,0.044,2.3,10
HUG,A.2.3.M,0.025,0.036,0.7,81
HUG,A.2.4.M,0.037,0.076,0.5,409
HUG,A.2.5.M,0.078,0.129,0.6,204
HUG,A.3 CathEtErisme cardiaque gauche (CCG), , , , 
HUG,A.3.1.F,,,,1'165
HUG,A.3.2.M,0.042,0.034,1.2,382
HUG,"A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19), mortalitE",0.221,0.118,1.9,68
HUG,A.3.4.M,0.016,0.005,3.3,631
HUG,A.3.5.P,0.287,0.381,,181
HUG,A.3.6.F,,,,15
HUG,A.4 Troubles du rythme cardiaque, , , , 
HUG,A.4.1.F,,,,615
HUG,A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG,A.5.1.F,,,,266
HUG,A.5.2.F,,,,56
HUG,A.6 Traitement par ablation, , , , 
HUG,A.6.1.F,,,,216
HUG,A.6.2.F,,,,36
HUG,A.7 OpErations du cúur, , , , 
HUG,A.7.1.F,,,,385
HUG,A.7.2.F,,,,216
HUG,A.7.3.F,,,,81
HUG,A.7.4.F,,,,168
HUG,A.7.5.F,,,,74
HUG,A.7.6.F,,,,135
HUG,A.7.7.M,0.029,0.025,1.2,69
HUG,A.7.11.M,0.1,0.035,2.8,10
HUG,A.7.12.M,0.027,0.009,2.9,37
HUG,A.7.13.M,,,,<10
HUG,A.7.14.M,0.1,0.019,5.2,10
HUG,A.7.15.M,0,0.005,0,12
HUG,A.7.16.M,0,0.008,0,13
HUG,A.7.17.M,,,,0
HUG,A.7.18.P,,,,<10
HUG,B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG,B.1.1.M,0.083,0.116,0.7,969
HUG,B.1.2.M,0.039,0.03,1.3,51
HUG,B.1.3.M,0.05,0.061,0.8,280
HUG,B.1.4.M,0.065,0.106,0.6,447
HUG,B.1.5.M,0.183,0.24,0.8,191
HUG,B.1.6.P,0.472,0.104,,457
HUG,B.1.7.M,0.039,0.079,0.5,694
HUG,B.1.8.M,0.038,0.08,0.5,498
HUG,B.1.9.P,0.061,0.095,,42
HUG,B.1.9.M,0.19,0.119,1.6,42
HUG,B.1.10.M,0.212,0.281,0.8,132
HUG,B.1.11.M,0.151,0.13,1.2,106
HUG,B.1.12.P,0.038,0.12,,37
HUG,B.1.12.M,0.243,0.141,1.7,37
HUG,B.2 Accident ischEmique transitoire (AIT), , , , 
HUG,B.2.1.M,0,0.003,0,111
HUG,B.2.2.P,,,,<10
HUG,C REEducation gEriatrique prEcoce, , , , 
HUG,C.1 REEducation gEriatrique prEcoce, , , , 
HUG,C.1.1.F,,,,0
HUG,D Maladies pulmonaires, , , , 
HUG,D.1 Pneumonie, , , , 
HUG,D.1.1.M,0.066,0.061,1.1,976
HUG,D.1.2.M,0,0.003,0,67
HUG,D.1.3.M,0.016,0.007,2.4,63
HUG,D.1.4.M,0.027,0.025,1.1,146
HUG,D.1.5.M,0.069,0.062,1.1,432
HUG,D.1.6.M,0.108,0.108,1,268
HUG,D.1.7.M,0,0.003,0,53
HUG,D.1.8.M,0.025,0.048,0.5,526
HUG,D.2 Broncho-pneumopathie chronique obstructive (BPCO), , , , 
HUG,D.2.1.M,0.018,0.032,0.6,166
HUG,D.2.2.M,0,0.063,0,31
HUG,D.2.3.M,0,0.019,0,39
HUG,D.2.4.M,0,0.009,0,14
HUG,D.2.5.M,,,,<10
HUG,D.2.6.P,0.319,0.384,,53
HUG,D.2.6.M,0.038,0.036,1,53
HUG,D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG,D.3.1.F,,,,646
HUG,D.4 OpErations du poumon, , , , 
HUG,D.4.1.M,0.012,0.025,0.5,86
HUG,D.4.2.P,,,,<10
HUG,D.4.2.M,,,,<10
HUG,D.4.3.M,0,0.027,0,35
HUG,E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
HUG,E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG,E.1.1.M,0.004,0.002,2.2,476
HUG,E.1.2.P,0.933,0.936,,444
HUG,E.2 REparations de hernie, , , , 
HUG,E.2.1.M,0,0.001,0,451
HUG,E.2.2.M,0.125,0.061,2,16
HUG,E.3 OpErations de la thyroÔde, , , , 
HUG,E.3.1.F,,,,165
HUG,E.3.2.P,,,,<10
HUG,E.3.3.F,,,,45
HUG,E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales), , , , 
HUG,E.4.1.M,0.065,0.052,1.2,294
HUG,E.4.2.M,0.04,0.043,0.9,100
HUG,E.4.3.M,0.1,0.147,0.7,10
HUG,E.4.4.M,0,0.016,0,43
HUG,E.4.5.M,0,0.006,0,13
HUG,E.4.6.M,0,0.084,0,29
HUG,E.4.7.M,0.429,0.334,1.3,14
HUG,E.4.8.F,,,,85
HUG,E.4.9.F Interventions colorectales locales pour cancer colorectal,,,,12
HUG,"E.4.10.F Interventions colorectales locales, affection autre que cancer colorectal",,,,177
HUG,E.5 OpErations de l'estomac, , , , 
HUG,E.5.1.F,,,,42
HUG,E.5.2.M,0.071,0.056,1.3,14
HUG,E.5.3.M,,,,<10
HUG,E.6 OpErations de líúsophage, , , , 
HUG,E.6.1.M,0.071,0.095,0.8,14
HUG,E.7 OpErations du pancrEas, , , , 
HUG,E.7.1.M,0.047,0.087,0.5,43
HUG,F OpErations de vaisseaux, , , , 
HUG,F.1 OpErations des vaisseaux extra≠cr‚niens, , , , 
HUG,F.1.1.M,0,0.001,0,50
HUG,F.1.2.M,0.053,0.035,1.5,38
HUG,F.1.3.F,,,,0
HUG,F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte), , , , 
HUG,F.2.1.F,,,,37
HUG,F.2.2.M,0.045,0.054,0.8,22
HUG,F.2.3.M,,,,<10
HUG,F.2.4.F,,,,<10
HUG,F.2.5.M,0.533,0.431,1.2,30
HUG,F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG,F.3.1.F,,,,70
HUG,F.3.2.M,0,0.005,0,14
HUG,F.3.3.M,,,,<10
HUG,F.3.4.M,,,,<10
HUG,F.3.5.M,0.091,0.038,2.4,22
HUG,F.3.6.M,,,,<10
HUG,F.3.7.M,,,,<10
HUG,F.3.8.F,,,,<10
HUG,F.3.9.F,,,,<10
HUG,F.4 Amputations, , , , 
HUG,F.4.1.M,0.044,0.024,1.9,45
HUG,F.4.2.M,0.132,0.117,1.1,38
HUG,G GynEcologie et obstEtrique, , , , 
HUG,G.1 Accouchements, , , , 
HUG,G.1.1.F,,,,3'884
HUG,G.1.1.P,0,0,,0
HUG,G.1.2.P,0.026,0.031,,74
HUG,G.1.3.P,0.121,0.279,,347
HUG,G.1.4.P,0.262,0.326,,1'017
HUG,G.2 Nouveau≠nEs, , , , 
HUG,G.2.1.F,,,,45
HUG,G.2.2.F,,,,<10
HUG,G.2.3.F,,,,12
HUG,G.2.4.F,,,,12
HUG,G.2.5.F,,,,<10
HUG,G.2.6.F,,,,15
HUG,G.2.7.F,,,,15
HUG,G.2.8.F,,,,263
HUG,G.2.9.F,,,,3'864
HUG,G.3 Ablation de líutErus pour affections bEnignes (hystErectomie), , , , 
HUG,G.3.1.M,0,0,0,264
HUG,G.3.2.P,0.848,0.718,,217
HUG,G.4 Cancer du sein, , , , 
HUG,G.4.1.F,,,,614
HUG,G.5 Interventions du sein, , , , 
HUG,G.5.1.F,,,,447
HUG,G.5.2.F,,,,259
HUG,G.5.3.P,0.788,0.692,,204
HUG,H Maladies des voies urinaires et des organes gEnitaux masculins, , , , 
