hospital_indicator,observed_rate_2009,expected_rate_2009,SMR_2009,number_of_cases_2009
HUG A Maladies cardiaques, , , , 
HUG A.1 Infarctus du myocarde, , , , 
HUG A.1.1.M,0.054,0.065,0.8,501
HUG A.1.2.M,0,0.009,0,36
HUG A.1.3.M,0.026,0.022,1.2,191
HUG A.1.4.M,0.077,0.073,1.1,220
HUG A.1.5.M,0.093,0.223,0.4,54
HUG A.1.6.P,0.874,0.522,,438
HUG A.1.7.M,0.06,0.089,0.7,402
HUG A.1.8.M,0.061,0.038,1.6,49
HUG A.1.9.P,0.038,0.065,,19
HUG A.1.10.M,0.061,0.056,1.1,214
HUG A.1.11.M,0.03,0.051,0.6,268
HUG A.2 Insuffisance cardiaque, , , , 
HUG A.2.1.M,0.037,0.079,0.5,544
HUG A.2.2.M,0,0.024,0,10
HUG A.2.3.M,0,0.028,0,60
HUG A.2.4.M,0.043,0.071,0.6,327
HUG A.2.5.M,0.041,0.124,0.3,147
HUG A.3 CathEtErisme cardiaque gauche (CCG), , , , 
HUG A.3.1.F,,,,1'280
HUG A.3.2.M,0.03,0.03,1,429
HUG A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19) mortalitE,0.181,0.097,1.9,72
HUG A.3.4.M,0.027,0.006,4.3,679
HUG A.3.5.P,0.348,0.377,,236
HUG A.3.6.F,,,,26
HUG A.4 Troubles du rythme cardiaque, , , , 
HUG A.4.1.F,,,,605
HUG A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG A.5.1.F,,,,237
HUG A.5.2.F,,,,63
HUG A.6 Traitement par ablation, , , , 
HUG A.6.1.F,,,,226
HUG A.6.2.F,,,,34
HUG A.7 OpErations du cúur, , , , 
HUG A.7.1.F,,,,397
HUG A.7.2.F,,,,215
HUG A.7.3.F,,,,105
HUG A.7.4.F,,,,167
HUG A.7.5.F,,,,82
HUG A.7.6.F,,,,135
HUG A.7.7.M,0.076,0.032,2.4,66
HUG A.7.11.M,,,,<10
HUG A.7.12.M,0.035,0.019,1.9,57
HUG A.7.13.M,,,,<10
HUG A.7.14.M,0,0.007,0,14
HUG A.7.15.M,0.067,0.016,4.3,15
HUG A.7.16.M,0.071,0.027,2.6,14
HUG A.7.17.M,,,,<10
HUG A.7.18.P,,,,<10
HUG B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG B.1.1.M,0.093,0.115,0.8,721
HUG B.1.2.M,0.06,0.04,1.5,67
HUG B.1.3.M,0.099,0.065,1.5,191
HUG B.1.4.M,0.085,0.116,0.7,353
HUG B.1.5.M,0.127,0.246,0.5,110
HUG B.1.6.P,0.49,0.079,,353
HUG B.1.7.M,0.056,0.083,0.7,502
HUG B.1.8.M,0.058,0.079,0.7,465
HUG B.1.9.P,0.074,0.076,,37
HUG B.1.9.M,0.162,0.104,1.6,37
HUG B.1.10.M,0.261,0.266,1,88
HUG B.1.11.M,0.161,0.117,1.4,93
HUG B.1.12.P,0.053,0.138,,38
HUG B.1.12.M,0.026,0.077,0.3,38
HUG B.2 Accident ischEmique transitoire (AIT), , , , 
HUG B.2.1.M,0,0.001,0,109
HUG B.2.2.P,,,,<10
HUG C REEducation gEriatrique prEcoce, , , , 
HUG C.1 REEducation gEriatrique prEcoce, , , , 
HUG C.1.1.F,,,,0
HUG D Maladies pulmonaires, , , , 
HUG D.1 Pneumonie, , , , 
HUG D.1.1.M,0.023,0.061,0.4,732
HUG D.1.2.M,0.012,0.004,3.4,80
HUG D.1.3.M,0,0.006,0,55
HUG D.1.4.M,0.021,0.034,0.6,142
HUG D.1.5.M,0.033,0.07,0.5,301
HUG D.1.6.M,0.019,0.119,0.2,154
HUG D.1.7.M,0.015,0.004,3.9,65
HUG D.1.8.M,0.02,0.055,0.4,545
HUG D.2 Broncho-pneumopathie chronique obstructive (BPCO), , , , 
HUG D.2.1.M,0,0.038,0,116
HUG D.2.2.M,0,0.079,0,20
HUG D.2.3.M,0,0.03,0,20
HUG D.2.4.M,,,,<10
HUG D.2.5.M,,,,<10
HUG D.2.6.P,0.543,0.335,,63
HUG D.2.6.M,0,0.045,0,63
HUG D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG D.3.1.F,,,,529
HUG D.4 OpErations du poumon, , , , 
HUG D.4.1.M,0.01,0.028,0.3,104
HUG D.4.2.P,,,,<10
HUG D.4.2.M,,,,<10
HUG D.4.3.M,0,0.024,0,45
HUG E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
HUG E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG E.1.1.M,0,0.003,0,446
HUG E.1.2.P,0.926,0.931,,413
HUG E.2 REparations de hernie, , , , 
HUG E.2.1.M,0,0.003,0,473
HUG E.2.2.M,0,0.076,0,20
HUG E.3 OpErations de la thyroÔde, , , , 
HUG E.3.1.F,,,,220
HUG E.3.2.P,0,0.003,,0
HUG E.3.3.F,,,,60
HUG E.4 OpErations majeures du cÙlon et du rectum (opErations colorectales), , , , 
HUG E.4.1.M,0.062,0.06,1,289
HUG E.4.2.M,0.087,0.049,1.8,92
HUG E.4.3.M,0.091,0.175,0.5,11
HUG E.4.4.M,0,0.04,0,23
HUG E.4.5.M,0,0.008,0,32
HUG E.4.6.M,0.034,0.053,0.6,29
HUG E.4.7.M,0.3,0.366,0.8,10
HUG E.4.8.F,,,,91
HUG E.4.9.F Interventions colorectales locales pour cancer colorectal,,,,15
HUG E.4.10.F Interventions colorectales locales affection autre que cancer colorectal,,,,128
HUG E.5 OpErations de l'estomac, , , , 
HUG E.5.1.F,,,,53
HUG E.5.2.M,0.059,0.037,1.6,17
HUG E.5.3.M,,,,<10
HUG E.6 OpErations de líúsophage, , , , 
HUG E.6.1.M,0,0.08,0,11
HUG E.7 OpErations du pancrEas, , , , 
HUG E.7.1.M,0.163,0.078,2.1,49
HUG F OpErations de vaisseaux, , , , 
HUG F.1 OpErations des vaisseaux extra≠cr‚niens, , , , 
HUG F.1.1.M,0,0.007,0,44
HUG F.1.2.M,0.062,0.021,3,32
HUG F.1.3.F,,,,<10
HUG F.2 OpErations en cas de dilatation de l'aorte (anEvrisme de l'aorte), , , , 
HUG F.2.1.F,,,,43
HUG F.2.2.M,0.045,0.045,1,22
HUG F.2.3.M,0,0.022,0,13
HUG F.2.4.F,,,,<10
HUG F.2.5.M,0.583,0.432,1.3,24
HUG F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG F.3.1.F,,,,62
HUG F.3.2.M,0,0.008,0,15
HUG F.3.3.M,,,,<10
HUG F.3.4.M,,,,0
HUG F.3.5.M,0.038,0.075,0.5,26
HUG F.3.6.M,,,,<10
HUG F.3.7.M,,,,<10
HUG F.3.8.F,,,,<10
HUG F.3.9.F,,,,<10
HUG F.4 Amputations, , , , 
HUG F.4.1.M,0,0.02,0,33
HUG F.4.2.M,0.056,0.123,0.5,36
HUG G GynEcologie et obstEtrique, , , , 
HUG G.1 Accouchements, , , , 
HUG G.1.1.F,,,,3'773
HUG G.1.1.P,0,0,,0
HUG G.1.2.P,0.018,0.029,,50
HUG G.1.3.P,0.136,0.289,,378
HUG G.1.4.P,0.263,0.325,,994
HUG G.2 Nouveau≠nEs, , , , 
HUG G.2.1.F,,,,98
HUG G.2.2.F,,,,18
HUG G.2.3.F,,,,23
HUG G.2.4.F,,,,27
HUG G.2.5.F,,,,18
HUG G.2.6.F,,,,30
HUG G.2.7.F,,,,16
HUG G.2.8.F,,,,321
HUG G.2.9.F,,,,3'619
HUG G.3 Ablation de líutErus pour affections bEnignes (hystErectomie), , , , 
HUG G.3.1.M,0.004,0.001,2.4,277
HUG G.3.2.P,0.804,0.73,,213
HUG G.4 Cancer du sein, , , , 
HUG G.4.1.F,,,,482
HUG G.5 Interventions du sein, , , , 
HUG G.5.1.F,,,,405
HUG G.5.2.F,,,,249
HUG G.5.3.P,0.775,0.674,,193
HUG H Maladies des voies urinaires et des organes gEnitaux masculins, , , , 
HUG H.1 Ablation du rein (nEphrectomie et nEphrectomie partielle), , , , 
HUG H.1.1.M,0.029,0.024,1.2,69
HUG H.1.2.P,0.174,0.212,,12
HUG H.1.3.P NEphrectomie partielle pourcentage,0.148,0.258,,12
HUG H.1.3.M,0,0.002,0,12
HUG H.1.4.P,,,,<10
HUG H.2 Calculs rEnaux, , , , 
HUG H.2.1.F,,,,251
HUG H.2.2.P,0.637,0.434,,160
