institution;indicator;taux observE 2008;taux attendu 2008;SMR 2008;nombre de cas 2008;taux observE 2009;taux attendu 2009;SMR 2009;nombre de cas 2009
HUG ≠ Soins aigus;A Maladies cardiaques; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.1 Infarctus du myocarde; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.1.1.M DP infarctus du myocarde (‚ge >19) mortalitE;0.072;0.07;1;526;0.054;0.065;0.8;501
HUG ≠ Soins aigus;A.1.2.M DP infarctus du myocarde ‚ge 20-44 mortalitE;0.024;0.012;2.1;41;0;0.009;0;36
HUG ≠ Soins aigus;A.1.3.M DP infarctus du myocarde ‚ge 45-64 mortalitE;0.045;0.024;1.9;199;0.026;0.022;1.2;191
HUG ≠ Soins aigus;A.1.4.M DP infarctus du myocarde ‚ge 65-84 mortalitE;0.106;0.077;1.4;218;0.077;0.073;1.1;220
HUG ≠ Soins aigus;A.1.5.M DP infarctus du myocarde ‚ge >84 mortalitE;0.074;0.221;0.3;68;0.093;0.223;0.4;54
HUG ≠ Soins aigus;A.1.6.P DP infarctus du myocarde (‚ge >19) avec CCG ou OP coronarienne pourcentage;0.863;0.515;NaN;454;0.874;0.522;NaN;438
HUG ≠ Soins aigus;A.1.7.M DP infarctus du myocarde (‚ge >19) admissions directes pas transfErE mortalitE;0.078;0.095;0.8;438;0.06;0.089;0.7;402
HUG ≠ Soins aigus;A.1.8.M DP infarctus du myocarde (‚ge >19) transfErE díun autre hÙpital mortalitE;0.105;0.043;2.5;38;0.061;0.038;1.6;49
HUG ≠ Soins aigus;A.1.9.P Infarctus aigu du myocarde non prEcisE (‚ge >19) pourcentage;0.053;0.071;NaN;28;0.038;0.065;NaN;19
HUG ≠ Soins aigus;A.1.10.M Infarctus du myocarde transmural (‚ge >19) mortalitE;0.083;0.065;1.3;278;0.061;0.056;1.1;214
HUG ≠ Soins aigus;A.1.11.M Infarctus non transmural/NSTEMI (‚ge >19) mortalitE;0.05;0.053;0.9;219;0.03;0.051;0.6;268
HUG ≠ Soins aigus;A.2 Insuffisance cardiaque; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.2.1.M DP insuffisance cardiaque (‚ge >19) mortalitE;0.03;0.088;0.3;525;0.037;0.079;0.5;544
HUG ≠ Soins aigus;A.2.2.M DP insuffisance cardiaque ‚ge 20-44 mortalitE;NaN;NaN;NaN;<10;0;0.024;0;10
HUG ≠ Soins aigus;A.2.3.M DP insuffisance cardiaque ‚ge 45-64 mortalitE;0;0.034;0;66;0;0.028;0;60
HUG ≠ Soins aigus;A.2.4.M DP insuffisance cardiaque ‚ge 65-84 mortalitE;0.029;0.08;0.4;307;0.043;0.071;0.6;327
HUG ≠ Soins aigus;A.2.5.M DP insuffisance cardiaque ‚ge >84 mortalitE;0.048;0.131;0.4;147;0.041;0.124;0.3;147
HUG ≠ Soins aigus;A.3 CathEtErisme cardiaque gauche (CCG); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.3.1.F Total des cas avec CCG avec diagnostic et intervention sur les artËres coronaires;NaN;NaN;NaN;1'272;NaN;NaN;NaN;1'280
HUG ≠ Soins aigus;A.3.2.M Cas avec CCG en cas d'infarctus du myocarde (‚ge >19) sans OP du cúur mortalitE;0.052;0.038;1.4;439;0.03;0.03;1;429
HUG ≠ Soins aigus;A.3.3.M Cas avec CCG sans infarctus du myocarde avec diagnostic de complications (‚ge >19) mortalitE;0.19;0.094;2;84;0.181;0.097;1.9;72
HUG ≠ Soins aigus;A.3.4.M Cas avec CCG sans infarctus du myocarde sans diagnostic de complications (‚ge >19) mortalitE;0.014;0.006;2.6;631;0.027;0.006;4.3;679
HUG ≠ Soins aigus;A.3.5.P CathEtErisme thErapeutique sans infarctus sans myocarde ou diagnostic de complications (‚ge >19) pourcentage;0.323;0.382;NaN;204;0.348;0.377;NaN;236
HUG ≠ Soins aigus;A.3.6.F Cas avec CCG chez l'enfant et l'adolescent (‚ge <20);NaN;NaN;NaN;51;NaN;NaN;NaN;26
HUG ≠ Soins aigus;A.4 Troubles du rythme cardiaque; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.4.1.F DP troubles du rythme cardiaque;NaN;NaN;NaN;601;NaN;NaN;NaN;605
HUG ≠ Soins aigus;A.5 Traitement par pacemaker ou dEfibrillateur implantable; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.5.1.F Traitement par pacemaker (implantation et changement dEfibrillateur inclus);NaN;NaN;NaN;243;NaN;NaN;NaN;237
HUG ≠ Soins aigus;A.5.2.F Implantation et changement de dEfibrillateur;NaN;NaN;NaN;42;NaN;NaN;NaN;63
HUG ≠ Soins aigus;A.6 Traitement par ablation; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.6.1.F Ablation par cathEter;NaN;NaN;NaN;241;NaN;NaN;NaN;226
HUG ≠ Soins aigus;A.6.2.F Ablation chirurgicale;NaN;NaN;NaN;27;NaN;NaN;NaN;34
HUG ≠ Soins aigus;A.7 OpErations du cúur; ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;A.7.1.F Total des OP du cúur;NaN;NaN;NaN;405;NaN;NaN;NaN;397
HUG ≠ Soins aigus;A.7.2.F OP des valves cardiaques;NaN;NaN;NaN;212;NaN;NaN;NaN;215
HUG ≠ Soins aigus;A.7.3.F OP des vaisseaux coronaires;NaN;NaN;NaN;110;NaN;NaN;NaN;105
HUG ≠ Soins aigus;A.7.4.F Autres OP du cúur;NaN;NaN;NaN;166;NaN;NaN;NaN;167
HUG ≠ Soins aigus;A.7.5.F OP combinEe du cúur;NaN;NaN;NaN;82;NaN;NaN;NaN;82
HUG ≠ Soins aigus;A.7.6.F OP du cúur chez l'enfant et l'adolescent (‚ge <20);NaN;NaN;NaN;131;NaN;NaN;NaN;135
HUG ≠ Soins aigus;A.7.7.M Remplacement isolE de valve aortique ‡ cúur ouvert sans autre OP du cúur mortalitE;0.067;0.038;1.8;75;0.076;0.032;2.4;66
HUG ≠ Soins aigus;A.7.11.M OP des vaisseaux coronaires uniquement en cas d'infarctus du myocarde (‚ge >19) mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;A.7.12.M OP des vaisseaux coronaires uniquement sans infarctus du myocarde (‚ge >19) mortalitE;0.029;0.012;2.4;70;0.035;0.019;1.9;57
HUG ≠ Soins aigus;A.7.13.M OP des vaisseaux coronaires uniquement sans infarctus du myocarde ‚ge 20-49 mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;A.7.14.M OP des vaisseaux coronaires uniquement sans infarctus du myocarde ‚ge 50-59 mortalitE;0;0.003;0;12;0;0.007;0;14
HUG ≠ Soins aigus;A.7.15.M OP des vaisseaux coronaires uniquement sans infarctus du myocarde ‚ge 60-69 mortalitE;0.05;0.011;4.7;20;0.067;0.016;4.3;15
HUG ≠ Soins aigus;A.7.16.M OP des vaisseaux coronaires uniquement sans infarctus du myocarde ‚ge 70-79 mortalitE;0.037;0.021;1.8;27;0.071;0.027;2.6;14
HUG ≠ Soins aigus;A.7.17.M OP des vaisseaux coronaires uniquement sans infarctus du myocarde ‚ge >79 mortalitE;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;A.7.18.P Cas de respiration artificielle >95 h en cas d'OP des vaisseaux coronaires uniquement sans infarctus du myocarde (‚ge >19) pourcentage;NaN;NaN;NaN;<10;NaN;NaN;NaN;<10
HUG ≠ Soins aigus;B.1 Accident vasculaire cErEbral (attaque cErEbrale); ; ; ; ; ; ; ; 
HUG ≠ Soins aigus;B.1.1.M DP díaccident vasculaire cErEbral toutes les formes (‚ge >19) mortalitE;0.109;0.115;1;724;0.093;0.115;0.8;721
HUG ≠ Soins aigus;B.1.2.M DP díaccident vasculaire cErEbral toutes les formes ‚ge 20-44 mortalitE;0.048;0.054;0.9;63;0.06;0.04;1.5;67
HUG ≠ Soins aigus;B.1.3.M DP díaccident vasculaire cErEbral toutes les formes ‚ge 45-64 mortalitE;0.098;0.063;1.6;205;0.099;0.065;1.5;191
HUG ≠ Soins aigus;B.1.4.M DP díaccident vasculaire cErEbral toutes les formes ‚ge 65-84 mortalitE;0.105;0.121;0.9;352;0.085;0.116;0.7;353
HUG ≠ Soins aigus;B.1.5.M DP díaccident vasculaire cErEbral toutes les formes ‚ge >84 mortalitE;0.183;0.232;0.8;104;0.127;0.246;0.5;110
HUG ≠ Soins aigus;B.1.6.P DP d'accident vasculaire cErEbral (‚ge >19) avec traitement en unitE cErEbro≠vasculaire pourcentage;...;...;NaN;...;0.49;0.079;NaN;353
HUG ≠ Soins aigus;B.1.7.M Infarctus cErEbral (CIM≠10 I63 ‚ge >19) mortalitE;0.055;0.079;0.7;453;0.056;0.083;0.7;502
HUG ≠ Soins aigus;B.1.8.M Infarctus cErEbral (CIM≠10 I63 ‚ge >19) admissions directes mortalitE;0.051;0.079;0.6;415;0.058;0.079;0.7;465
