hospital_name,indicator,observed_rate_2014,expected_rate_2014,SMR_2014,number_of_cases_2014
HUG,A Maladies cardiaques, , , , 
HUG,A.1 Infarctus du myocarde, , , , 
HUG,A.1.1.M,0.061,0.057,1.1,553
HUG,A.1.2.M,0.026,0.022,1.2,39
HUG,A.1.3.M,0.049,0.017,2.9,204
HUG,A.1.4.M,0.053,0.056,0.9,226
HUG,A.1.5.M,0.131,0.172,0.8,84
HUG,A.1.6.P,0.821,0.623,,454
HUG,A.1.7.M,0.064,0.069,0.9,471
HUG,A.1.8.M,0.078,0.056,1.4,51
HUG,A.1.9.P,0.022,0.019,,12
HUG,A.1.10.M,0.055,0.062,0.9,237
HUG,A.1.11.M,0.059,0.044,1.4,303
HUG,A.2 Insuffisance cardiaque, , , , 
HUG,A.2.1.M,0.073,0.088,0.8,1'105
HUG,A.2.2.M,,,,6
HUG,A.2.3.M,0.033,0.047,0.7,90
HUG,A.2.4.M,0.056,0.071,0.8,557
HUG,A.2.5.M,0.102,0.118,0.9,452
HUG,A.2.6.P,0.586,0.525,,197
HUG,A.3 CathEtErisme cardiaque, , , , 
HUG,A.3.1.F,,,,1'116
HUG,A.3.2.M,0.04,0.034,1.2,422
HUG,A.3.4.M,0.047,0.015,3.2,405
HUG,A.3.5.M,0.032,0.015,2.1,155
HUG,A.3.5.P,0.271,0.384,,155
HUG,A.3.6.F,,,,45
HUG,A.4 Troubles du rythme cardiaque, , , , 
HUG,A.4.1.F,,,,670
HUG,A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG,A.5.1.F,,,,227
HUG,A.5.2.F,,,,53
HUG,A.6 Traitement par ablation, , , , 
HUG,A.6.1.F,,,,241
HUG,A.6.2.F,,,,12
HUG,A.7 OpErations du cúur, , , , 
HUG,A.7.1.F,,,,415
HUG,A.7.2.F,,,,207
HUG,A.7.3.F,,,,104
HUG,A.7.4.F,,,,204
HUG,A.7.5.F,,,,92
HUG,A.7.6.F,,,,149
HUG,A.7.7.M,0,0.016,0,28
HUG,A.7.8.M,0.062,0.041,1.5,32
HUG,A.7.9.M,0.062,0.039,1.6,32
HUG,A.7.10.M,,,,0
HUG,A.7.11.M,0.043,0.033,1.3,23
HUG,A.7.12.M,0.022,0.008,2.9,45
HUG,A.7.13.M,,,,1
HUG,A.7.14.M,0,0.003,0,10
HUG,A.7.15.M,0.05,0.003,16.3,20
HUG,A.7.16.M,0,0.019,0,11
HUG,A.7.17.M,,,,3
HUG,A.7.18.P,0.222,0.114,,10
HUG,A.7.19.M,,,,2
HUG,A.7.20.M,0,0.008,0,26
HUG,A.7.21.P,0,0.002,,0
HUG,A.7.22.P,,,,-
HUG,B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG,B.1.1.M,0.094,0.095,1,1'069
HUG,B.1.2.M,0.083,0.05,1.7,72
HUG,B.1.3.M,0.053,0.044,1.2,265
HUG,B.1.4.M,0.079,0.092,0.9,506
HUG,B.1.5.M,0.181,0.176,1,226
HUG,B.1.6.P,0.443,0.288,,474
HUG,B.1.7.M,0.049,0.063,0.8,769
HUG,B.1.8.M,0.051,0.063,0.8,590
HUG,B.1.9.M,0.132,0.074,1.8,38
HUG,B.1.9.P,0.049,0.082,,38
HUG,B.1.10.M,0.232,0.244,0.9,177
HUG,B.1.11.M,0.167,0.154,1.1,84
HUG,B.1.12.M,0.205,0.141,1.5,39
HUG,B.1.12.P,0.036,0.059,,39
HUG,B.1.13.M,0.045,0.062,0.7,179
HUG,B.2 Accident ischEmique transitoire (AIT), , , , 
HUG,B.2.1.M,0.017,0.005,3.9,229
HUG,B.2.2.P,0.306,0.173,,70
HUG,C REEducation gEriatrique prEcoce, , , , 
HUG,C.1 REEducation gEriatrique prEcoce, , , , 
HUG,C.1.1.F,,,,3
HUG,C.1.2.P,0,0.683,,0
HUG,C.1.3.S,,,,0
HUG,D Maladies pulmonaires, , , , 
HUG,D.1 Pneumonie, , , , 
HUG,D.1.1.M,0.059,0.057,1,1'205
HUG,D.1.2.M,0,0,,59
HUG,D.1.3.M,0.021,0.008,2.7,47
HUG,D.1.4.M,0.037,0.019,1.9,162
HUG,D.1.5.M,0.052,0.053,1,575
HUG,D.1.6.M,0.094,0.097,1,362
HUG,D.1.7.M,0,0,,52
HUG,D.1.8.M,0.036,0.048,0.8,770
HUG,D.2 Broncho≠pneumopathie chronique obstructive (BPCO), , , , 
HUG,D.2.1.M,0.033,0.042,0.8,337
HUG,D.2.2.M,0.045,0.075,0.6,110
HUG,D.2.3.M,0.012,0.034,0.4,84
HUG,D.2.4.M,0.028,0.011,2.5,36
HUG,D.2.5.M,0,0.036,0,12
HUG,D.2.6.M,0.042,0.037,1.1,95
HUG,D.2.6.P,0.282,0.241,,95
HUG,D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG,D.3.1.F,,,,679
HUG,D.4 OpErations du poumon, , , , 
HUG,D.4.1.M,0.028,0.02,1.4,109
HUG,D.4.2.M,,,,4
HUG,D.4.2.P,,,,4
HUG,D.4.3.M,0,0.021,0,55
HUG,D.4.4.P,,,,2
HUG,D.4.5.M,0.077,0.027,2.9,13
HUG,E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
HUG,E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG,E.1.1.M,0.006,0.002,2.8,472
HUG,E.1.2.P,0.939,0.95,,443
HUG,E.2 REparations de hernie, , , , 
HUG,E.2.1.M,0.002,0.001,1.8,551
HUG,E.2.2.M,0,0.016,0,11
HUG,E.2.3.P,0,0.24,,0
HUG,E.2.4.P,0.908,0.939,,295
HUG,E.3 OpErations de la thyroÔde, , , , 
HUG,E.3.1.F,,,,393
HUG,E.3.2.P,,,,2
HUG,E.3.3.F,,,,102
HUG,E.4 Maladies du cÙlon et du rectum (opErations colorectales), , , , 
HUG,E.4.1.M,0.06,0.046,1.3,348
HUG,E.4.2.M,0.048,0.033,1.4,84
HUG,E.4.3.M,,,,7
HUG,E.4.4.M,0,0.014,0,37
HUG,E.4.5.M,0,0.005,0,49
HUG,E.4.6.M,0.043,0.052,0.8,46
HUG,E.4.7.M,0.458,0.401,1.1,24
HUG,E.4.8.F,,,,79
HUG,E.4.11.F,,,,444
HUG,E.4.12.F,,,,182
HUG,E.4.13.M,0,0,,22
HUG,E.4.14.P,,,,2
HUG,E.5 OpErations de líestomac, , , , 
HUG,E.5.1.F,,,,37
HUG,E.5.2.M,0,0.003,0,14
HUG,E.5.3.M,,,,5
HUG,E.5.4.F,,,,116
HUG,E.5.5.M,0.025,0.035,0.7,120
HUG,E.6 OpErations de líúsophage, , , , 
HUG,E.6.1.M,0,0.064,0,10
HUG,E.7 OpErations du pancrEas, , , , 
HUG,E.7.1.M,0,0.05,0,45
HUG,F Affections des vaisseaux, , , , 
HUG,F.1 OpErations des artËres cErEbrales, , , , 
HUG,F.1.1.M,0,0.002,0,35
HUG,F.1.2.M,0.04,0.042,0.9,25
HUG,F.1.3.F,,,,2
HUG,F.1.4.F,,,,104
HUG,F.2 Dilatation de líaorte (anEvrisme de líaorte), , , , 
HUG,F.2.1.F,,,,84
HUG,F.2.1.F,,,,84
HUG,F.2.2.M,,,,9
HUG,F.2.3.M,0.062,0.018,3.4,32
HUG,F.2.4.F,,,,23
HUG,F.2.5.M,0.533,0.477,1.1,30
HUG,F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG,F.3.1.F,,,,99
HUG,F.3.2.M,0,0.004,0,21
HUG,F.3.3.M,,,,2
HUG,F.3.4.M,0,0.044,0,10
HUG,F.3.5.M,0,0.043,0,29
HUG,F.3.6.M,,,,9
HUG,F.3.7.M,0,0,,11
HUG,F.3.8.F,,,,7
HUG,F.3.9.F,,,,10
HUG,F.4 Amputations, , , , 
HUG,F.4.1.M,0,0.024,0,42
HUG,F.4.2.M,0.111,0.115,1,27
HUG,F.5 Angioplasties transluminales percutanEes (ATP), , , , 
HUG,F.5.1.F,,,,210
HUG,F.5.2.F,,,,32
HUG,F.5.3.F,,,,11
HUG,F.5.4.F,,,,29
HUG,F.5.5.F,,,,9
HUG,F.5.6.F,,,,32
HUG,F.5.7.F,,,,140
HUG,G GynEcologie et obstEtrique, , , , 
HUG,G.1 Accouchements, , , , 
HUG,G.1.1.F,,,,3'988
HUG,G.1.1.P,0,0,,0
HUG,G.1.2.P,0.022,0.03,,62
HUG,G.1.3.P,0.129,0.215,,360
