hospital_indicator,observed_rate_2013,expected_rate_2013,SMR_2013,number_of_cases_2013
HUG A Maladies cardiaques, , , , 
HUG A.1 Infarctus du myocarde, , , , 
HUG A.1.1.M,0.071,0.068,1,518
HUG A.1.2.M,0,0.009,0,31
HUG A.1.3.M,0.018,0.022,0.8,171
HUG A.1.4.M,0.093,0.063,1.5,214
HUG A.1.5.M,0.137,0.176,0.8,102
HUG A.1.6.P,0.824,0.614,,427
HUG A.1.7.M,0.067,0.08,0.8,477
HUG A.1.8.M,0.132,0.07,1.9,38
HUG A.1.9.P,0.025,0.023,,13
HUG A.1.10.M,0.097,0.072,1.3,206
HUG A.1.11.M,0.04,0.053,0.8,297
HUG A.2 Insuffisance cardiaque, , , , 
HUG A.2.1.M,0.071,0.093,0.8,1'078
HUG A.2.2.M,,,,7
HUG A.2.3.M,0.024,0.039,0.6,84
HUG A.2.4.M,0.054,0.068,0.8,485
HUG A.2.5.M,0.098,0.127,0.8,502
HUG A.2.6.P,0.521,0.527,,158
HUG A.3 CathEtErisme cardiaque, , , , 
HUG A.3.1.F,,,,1'027
HUG A.3.2.M,0.047,0.037,1.3,407
HUG A.3.4.M,0.039,0.014,2.8,306
HUG A.3.5.M,0.052,0.011,4.6,194
HUG A.3.5.P,0.38,0.385,,194
HUG A.3.6.F,,,,31
HUG A.4 Troubles du rythme cardiaque, , , , 
HUG A.4.1.F,,,,606
HUG A.5 Traitement par pacemaker ou dEfibrillateur implantable, , , , 
HUG A.5.1.F,,,,200
HUG A.5.2.F,,,,32
HUG A.6 Traitement par ablation, , , , 
HUG A.6.1.F,,,,233
HUG A.6.2.F,,,,6
HUG A.7 OpErations du cúur, , , , 
HUG A.7.1.F,,,,371
HUG A.7.2.F,,,,225
HUG A.7.3.F,,,,79
HUG A.7.4.F,,,,145
HUG A.7.5.F,,,,77
HUG A.7.6.F,,,,134
HUG A.7.7.M,0.022,0.014,1.6,45
HUG A.7.8.M,0.071,0.048,1.5,28
HUG A.7.9.M,0.037,0.033,1.1,27
HUG A.7.10.M,,,,1
HUG A.7.11.M,0.067,0.038,1.8,15
HUG A.7.12.M,0.029,0.009,3.2,35
HUG A.7.13.M,,,,4
HUG A.7.14.M,,,,7
HUG A.7.15.M,0.083,0.008,10.5,12
HUG A.7.16.M,,,,9
HUG A.7.17.M,,,,3
HUG A.7.18.P,0.314,0.109,,11
HUG A.7.19.M,,,,2
HUG A.7.20.M,0,0.012,0,43
HUG A.7.21.P,0,0.005,,0
HUG A.7.22.P,,,,-
HUG B.1 Accident vasculaire cErEbral (attaque cErEbrale), , , , 
HUG B.1.1.M,0.079,0.104,0.8,1'027
HUG B.1.2.M,0.014,0.029,0.5,70
HUG B.1.3.M,0.043,0.054,0.8,257
HUG B.1.4.M,0.07,0.098,0.7,489
HUG B.1.5.M,0.166,0.203,0.8,211
HUG B.1.6.P,0.472,0.241,,485
HUG B.1.7.M,0.032,0.064,0.5,656
HUG B.1.8.M,0.039,0.064,0.6,543
HUG B.1.9.M,0.091,0.106,0.9,33
HUG B.1.9.P,0.05,0.087,,33
HUG B.1.10.M,0.16,0.232,0.7,144
HUG B.1.11.M,0.146,0.166,0.9,82
HUG B.1.12.M,0.172,0.14,1.2,145
HUG B.1.12.P,0.141,0.075,,145
HUG B.1.13.M,0,0.067,0,113
HUG B.2 Accident ischEmique transitoire (AIT), , , , 
HUG B.2.1.M,0.026,0.005,5.5,193
HUG B.2.2.P,0.306,0.138,,59
HUG C REEducation gEriatrique prEcoce, , , , 
HUG C.1 REEducation gEriatrique prEcoce, , , , 
HUG C.1.1.F,,,,0
HUG C.1.2.P,,,,0
HUG C.1.3.S,,,,0
HUG D Maladies pulmonaires, , , , 
HUG D.1 Pneumonie, , , , 
HUG D.1.1.M,0.047,0.059,0.8,1'218
HUG D.1.2.M,0.018,0.003,5.4,57
HUG D.1.3.M,0,0.008,0,48
HUG D.1.4.M,0.046,0.029,1.6,173
HUG D.1.5.M,0.048,0.059,0.8,584
HUG D.1.6.M,0.056,0.09,0.6,356
HUG D.1.7.M,0.021,0.004,5.8,47
HUG D.1.8.M,0.02,0.05,0.4,762
HUG D.2 Broncho≠pneumopathie chronique obstructive (BPCO), , , , 
HUG D.2.1.M,0.008,0.038,0.2,238
HUG D.2.2.M,0.019,0.066,0.3,52
HUG D.2.3.M,0.02,0.019,1,51
HUG D.2.4.M,0,0.008,0,32
HUG D.2.5.M,0,0.016,0,15
HUG D.2.6.M,0,0.048,0,88
HUG D.2.6.P,0.37,0.267,,88
HUG D.3 Cancer du poumon (carcinome bronchique), , , , 
HUG D.3.1.F,,,,670
HUG D.4 OpErations du poumon, , , , 
HUG D.4.1.M,0.027,0.025,1.1,112
HUG D.4.2.M,,,,2
HUG D.4.2.P,,,,2
HUG D.4.3.M,0.019,0.026,0.7,54
HUG D.4.4.P,,,,3
HUG D.4.5.M,0.048,0.054,0.9,21
HUG E OpErations des organes abdominaux et de la thyroÔde (chirurgie viscErale), , , , 
HUG E.1 Ablation de la vEsicule biliaire (cholEcystectomie), , , , 
HUG E.1.1.M,0,0.002,0,397
HUG E.1.2.P,0.932,0.952,,370
HUG E.2 REparations de hernie, , , , 
HUG E.2.1.M,0.002,0.001,1.8,419
HUG E.2.2.M,0,0.026,0,10
HUG E.2.3.P,,,,2
HUG E.2.4.P,0.962,0.926,,225
HUG E.3 OpErations de la thyroÔde, , , , 
HUG E.3.1.F,,,,332
HUG E.3.2.P,,,,3
HUG E.3.3.F,,,,96
HUG E.4 Maladies du cÙlon et du rectum (opErations colorectales), , , , 
HUG E.4.1.M,0.057,0.051,1.1,317
HUG E.4.2.M,0.054,0.036,1.5,74
HUG E.4.3.M,0,0.057,0,13
HUG E.4.4.M,0,0.035,0,46
HUG E.4.5.M,0,0.005,0,40
HUG E.4.6.M,0,0.056,0,34
HUG E.4.7.M,0.292,0.326,0.9,24
HUG E.4.8.F,,,,74
HUG E.4.11.F,,,,408
HUG E.4.12.F,,,,150
HUG E.4.13.M,0,0.012,0,12
HUG E.4.14.P,,,,5
HUG E.5 OpErations de líestomac, , , , 
HUG E.5.1.F,,,,41
HUG E.5.2.M,0,0.026,0,10
HUG E.5.3.M,,,,3
HUG E.5.4.F,,,,145
HUG E.5.5.M,0.048,0.042,1.1,125
HUG E.6 OpErations de líúsophage, , , , 
HUG E.6.1.M,,,,8
HUG E.7 OpErations du pancrEas, , , , 
HUG E.7.1.M,0.029,0.062,0.5,35
HUG F Affections des vaisseaux, , , , 
HUG F.1 OpErations des artËres cErEbrales, , , , 
HUG F.1.1.M,0,0.006,0,46
HUG F.1.2.M,0.048,0.04,1.2,21
HUG F.1.3.F,,,,4
HUG F.1.4.F,,,,101
HUG F.2 Dilatation de líaorte (anEvrisme de líaorte), , , , 
HUG F.2.1.F,,,,83
HUG F.2.1.F,,,,83
HUG F.2.2.M,0,0.051,0,14
HUG F.2.3.M,0.033,0.016,2.1,30
HUG F.2.4.F,,,,28
HUG F.2.5.M,0.611,0.414,1.5,18
HUG F.3 OpErations des artËres du bassin et des jambes, , , , 
HUG F.3.1.F,,,,87
HUG F.3.2.M,0,0.011,0,18
HUG F.3.3.M,,,,4
HUG F.3.4.M,,,,5
HUG F.3.5.M,0.148,0.061,2.4,27
HUG F.3.6.M,,,,6
HUG F.3.7.M,,,,8
HUG F.3.8.F,,,,6
HUG F.3.9.F,,,,13
HUG F.4 Amputations, , , , 
HUG F.4.1.M,0.067,0.027,2.5,45
HUG F.4.2.M,0.24,0.15,1.6,25
HUG F.5 Angioplasties transluminales percutanEes (ATP), , , , 
HUG F.5.1.F,,,,217
HUG F.5.2.F,,,,32
HUG F.5.3.F,,,,8
HUG F.5.4.F,,,,37
HUG F.5.5.F,,,,20
HUG F.5.6.F,,,,33
HUG F.5.7.F,,,,127
HUG G GynEcologie et obstEtrique, , , , 
HUG G.1 Accouchements, , , , 
HUG G.1.1.F,,,,4'015
HUG G.1.1.P,0,0,,0
HUG G.1.2.P,0.018,0.03,,51
HUG G.1.3.P,0.139,0.229,,394
HUG G.1.4.P,0.294,0.33,,1'181
HUG G.2 Nouveau≠nEs, , , , 
HUG G.2.1.F,,,,71
HUG G.2.2.F,,,,5
HUG G.2.3.F,,,,12
HUG G.2.4.F,,,,23
HUG G.2.5.F,,,,10
HUG G.2.6.F,,,,26
HUG G.2.7.F,,,,26
HUG G.2.8.F,,,,361
HUG G.2.9.F,,,,3'854
